stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
7019,7019,BISSONNET ST @ LOCUST ST,,29.709145,-95.465134,,,,,0
7020,7020,BISSONNET ST @ MAPLERIDGE ST,,29.704733,-95.473828,,,,,0
7021,7021,BISSONNET ST @ CHIMNEY ROCK RD,,29.703854,-95.475555,,,,,0
7022,7022,BISSONNET ST @ CHETWOOD DR,,29.702527,-95.478157,,,,,0
7023,7023,BISSONNET ST @ ALDER DR,,29.70146,-95.480248,,,,,0
7024,7024,BISSONNET ST @ ATWELL DR,,29.700421,-95.482292,,,,,0
7025,7025,BISSONNET ST @ RENWICK DR,,29.699393,-95.484306,,,,,0
7026,7026,BISSONNET ST @ MULLINS DR,,29.698354,-95.486336,,,,,0
7027,7027,BISSONNET ST @ RAMPART ST,,29.697284,-95.488449,,,,,0
7028,7028,BISSONNET ST @ ASHCROFT DR,,29.696259,-95.490479,,,,,0
7029,7029,BISSONNET ST @ HILLCROFT AVE,,29.695058,-95.492766,,,,,0
7030,7030,BISSONNET ST @ DUNLAP ST,,29.693643,-95.495529,,,,,0
7031,7031,BISSONNET ST @ BRAEWICK DR,,29.692931,-95.496933,,,,,0
7032,7032,BISSONNET ST @ MC AVOY DR,,29.689109,-95.504394,,,,,0
7033,7033,BISSONNET ST @ MC AVOY DR,,29.688195,-95.50618,,,,,0
7035,7035,BISSONNET ST @ FONDREN RD,,29.686261,-95.509971,,,,,0
7036,7036,BISSONNET ST @ CADAWAC RD,,29.685295,-95.511863,,,,,0
7037,7037,BISSONNET ST @ BONHOMME RD,,29.684306,-95.513817,,,,,0
7038,7038,BISSONNET ST @ BONHOMME RD,,29.683595,-95.515236,,,,,0
7040,7040,BISSONNET ST @ BRAEBURN VALLEY DR,,29.681991,-95.518417,,,,,0
7041,7041,BISSONNET ST @ WATEKA DR,,29.679636,-95.523079,,,,,0
7042,7042,BISSONNET ST @ WATEKA DR,,29.678477,-95.525391,,,,,0
7043,7043,BISSONNET ST @ GESSNER RD,,29.677329,-95.527695,,,,,0
7044,7044,BISSONNET ST @ BRAEBURN GLEN BLVD,,29.676435,-95.532364,,,,,0
7045,7045,BISSONNET ST @ BRAEBURN GLEN BLVD,,29.676374,-95.53447,,,,,0
7046,7046,BISSONNET ST @ BRAESWOOD BLVD,,29.676162,-95.539075,,,,,0
7047,7047,BISSONNET ST @ SOUTHWEST FREEWAY,,29.676116,-95.540565,,,,,0
7048,7048,SOUTHWEST FREEWAY   @ NEFF ST,,29.7024,-95.5147,,,,,0
7050,7050,ELLA BLVD @ 43RD ST,,29.828153,-95.429505,,,,,0
7051,7051,ELLA BLVD @ CHAMBOARD LN,,29.83054,-95.42956,,,,,0
7052,7052,ELLA BLVD @ THORNTON RD,,29.83218,-95.42958,,,,,0
7053,7053,ELLA BLVD @ CHESHIRE LN,,29.83386,-95.4296,,,,,0
7054,7054,ELLA BLVD @ RICHELIEU LN,,29.83549,-95.42962,,,,,0
7055,7055,ELLA BLVD @ BETHLEHEM ST,,29.83717,-95.42963,,,,,0
7056,7056,ELLA BLVD @ LEHMAN ST,,29.83851,-95.42912,,,,,0
7057,7057,ELLA BLVD @ LEHMAN ST,,29.84013,-95.4287,,,,,0
7058,7058,WHEATLEY ST @ DONOVAN,,29.844053,-95.428705,,,,,0
7059,7059,WHEATLEY ST @ TIDWELL RD,,29.84675,-95.4287,,,,,0
7060,7060,WHEATLEY ST @ MANSFIELD ST,,29.85126,-95.428913,,,,,0
7061,7061,WHEATLEY ST @ DE SOTO ST,,29.854649,-95.428946,,,,,0
7062,7062,WHEATLEY ST @ WILBURFORCE ST,,29.857576,-95.428943,,,,,0
7063,7063,WHEATLEY ST @ MELON,,29.86113,-95.428957,,,,,0
7064,7064,WHEATLEY ST @ GRANVILLE DR,,29.862887,-95.429188,,,,,0
7065,7065,MONTGOMERY RD @ DE PRIEST DR,,29.85548,-95.41887,,,,,0
7066,7066,MONTGOMERY RD @ BEALL ST,,29.85397,-95.41711,,,,,0
7067,7067,MONTGOMERY RD @ BRINKMAN ST,,29.85241,-95.4153,,,,,0
7068,7068,MONTGOMERY RD @ SHEPHERD DR,,29.84999,-95.41227,,,,,0
7069,7069,MONTGOMERY RD @ BRINKMAN ST,,29.851933,-95.414471,,,,,0
7070,7070,MONTGOMERY RD @ BEALL ST,,29.85378,-95.4166,,,,,0
7071,7071,MONTGOMERY RD @ DE PRIEST DR,,29.855765,-95.418915,,,,,0
7072,7072,MONTGOMERY RD @ WILBURFORCE ST,,29.857822,-95.421326,,,,,0
7073,7073,MONTGOMERY RD @ COHN,,29.859736,-95.423561,,,,,0
7074,7074,MONTGOMERY RD @ TUSKEGEE ST,,29.861743,-95.425904,,,,,0
7075,7075,MONTGOMERY RD @ LITTLE YORK RD,,29.863458,-95.427902,,,,,0
7076,7076,KNOX ST @ RACHEL ST,,29.854268,-95.423132,,,,,0
7077,7077,KNOX ST @ MANSFIELD ST,,29.851454,-95.423119,,,,,0
7078,7078,KNOX ST @ TIDWELL RD,,29.847219,-95.42308,,,,,0
